1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,26,1,1,26,26,26,1,41,1,1,41,41,1,1,1,1
1,1,1,0,4,4,4,4,4,4,4,4,4,4,4,4,10,1,1,1
1,1,1,25,29,30,31,30,30,5,30,30,29,30,30,30,35,1,1,1
1,1,1,25,30,30,30,29,30,30,30,30,31,30,29,30,35,1,1,1
1,1,1,25,30,30,30,31,30,30,30,30,5,30,30,5,35,1,1,1
1,1,1,25,30,5,30,30,30,31,30,30,30,30,29,30,35,1,1,1
1,1,1,25,31,30,29,30,30,30,30,30,29,30,30,30,35,1,1,1
1,1,1,25,30,30,16,30,32,30,30,30,30,30,32,30,35,1,1,1
1,1,1,42,28,28,28,28,28,28,28,28,28,28,28,28,37,1,1,1
1,1,1,62,62,62,62,62,62,62,62,62,62,62,62,62,62,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
